# Rime user dictionary
#@/db_name	bxm26J
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	64909
#@/user_id	1520d77d-d27c-4605-8f5b-f25221a59c49
a 	又	c=112 d=4.9658 t=64909
isis 	试试	c=21 d=1.9488e-26 t=64909
isjz 	誠	c=1 d=8.10644e-90 t=64909
isnf 	巧用	c=3 d=1.22386e-53 t=64909
isnf 	试用	c=1 d=2.48847e-49 t=64909
issv 	试验	c=1 d=1.84382e-51 t=64909
isvi 	诚信	c=1 d=8.14042e-51 t=64909
it 	项	c=17 d=0.71177 t=64909
itbi 	项目	c=401 d=13.4571 t=64909
itgt 	订单	c=1 d=0.970446 t=64909
ith 	訂	c=1 d=5.36304e-112 t=64909
ithh 	环	c=3 d=1.86709e-104 t=64909
iti 	玾	c=4 d=3.81899e-42 t=64909
itiv 	玎玲	c=1 d=2.29005e-42 t=64909
itiv 	评论	c=1 d=2.31306e-42 t=64909
itng 	订阅	c=10 d=0.771052 t=64909
itr 	項	c=3 d=2.91162e-73 t=64909
itri 	词不达意	c=1 d=1.73438e-37 t=64909
itvx 	评估	c=8 d=1.28586e-22 t=64909
itwa 	评级	c=1 d=0.71177 t=64909
ityi 	环境	c=47 d=2.29164 t=64909
itzj 	订金	c=1 d=1.33998e-90 t=64909
iudh 	充满	c=1 d=2.34963e-50 t=64909
iuge 	充当	c=2 d=1.31232e-32 t=64909
iuhq 	弃	c=1 d=3.36492e-40 t=64909
iun 	育	c=5 d=2.46789e-100 t=64909
iuw 	充	c=6 d=5.54215e-28 t=64909
iuwj 	育儿	c=1 d=5.00829e-101 t=64909
iv 	论	c=6 d=0.0439369 t=64909
iva 	夜	c=1 d=3.00193e-50 t=64909
ivbh 	夜晚	c=1 d=2.30082e-09 t=64909
ivdd 	许多	c=3 d=0.449329 t=64909
ivdx 	认为	c=3 d=2.45485e-36 t=64909
ivdz 	玲	c=2 d=2.06306e-71 t=64909
ivfj 	新华书店	c=1 d=2.25942e-60 t=64909
ivgm 	诊断	c=2 d=2.24944e-08 t=64909
ivi 	誰	c=26 d=2.51977 t=64909
ivii 	认证	c=9 d=0.0256042 t=64909
ivio 	认识	c=4 d=5.26167e-107 t=64909
ivj 	认	c=1 d=2.17948e-48 t=64909
ivmd 	论述	c=1 d=3.70101e-13 t=64909
ivnb 	夜间	c=2 d=1.18325e-60 t=64909
ivto 	认可	c=2 d=1.3667e-49 t=64909
ivto 	许可	c=1 d=6.7144e-50 t=64909
ivx 	許	c=2 d=1.86516 t=64909
ivyg 	论坛	c=2 d=1.06473e-32 t=64909
iw 	现	c=8 d=5.47295e-27 t=64909
iwaq 	设备	c=7 d=1.88468 t=64909
iwhq 	现象	c=1 d=7.93778e-78 t=64909
iwiv 	玄论	c=1 d=1.34542e-20 t=64909
iwix 	设计	c=55 d=6.00527 t=64909
iwlx 	恐怖	c=1 d=2.50495e-09 t=64909
iwqx 	设置	c=335 d=11.9669 t=64909
iwvs 	现代	c=14 d=0.416862 t=64909
iwxi 	现在	c=109 d=1.20818 t=64909
iwxn 	现有	c=3 d=2.39179e-24 t=64909
iwxx 	率	c=51 d=0.786628 t=64909
iwzj 	现金	c=14 d=0.000288736 t=64909
ix 	文	c=57 d=4.97111 t=64909
ixab 	变	c=17 d=4.34339e-06 t=64909
ixaq 	刘备	c=1 d=1.12203e-31 t=64909
ixba 	读取	c=19 d=1.14056 t=64909
ixbh 	变量	c=50 d=3.43736 t=64909
ixbh 	水量	c=1 d=2.92205e-115 t=64909
ixbo 	离职	c=1 d=3.47874e-49 t=64909
ixfh 	文物	c=1 d=1.03693e-103 t=64909
ixg 	刘	c=7 d=3.69175 t=64909
ixg 	彣	c=1 d=1.28237e-73 t=64909
ixgl 	刘	c=1 d=1.2888e-73 t=64909
ixgm 	计数	c=7 d=2.48721e-43 t=64909
ixgn 	文学	c=1 d=4.93541e-105 t=64909
ixgu 	变动	c=22 d=1.25717e-32 t=64909
ixh 	計	c=34 d=2.95551 t=64909
ixhj 	计	c=2 d=1.84338e-107 t=64909
ixhn 	永久	c=3 d=7.87108e-95 t=64909
ixhr 	变更	c=58 d=1.95344e-23 t=64909
ixhy 	斌	c=4 d=3.11929 t=64909
ixi 	誹	c=1 d=4.85696e-93 t=64909
ixid 	水墨	c=1 d=2.15486e-32 t=64909
ixih 	功放	c=1 d=2.7005e-11 t=64909
ixik 	文章	c=44 d=3.63655 t=64909
ixiv 	讨论	c=10 d=3.99535e-39 t=64909
ixjy 	產	c=1 d=5.6526e-113 t=64909
ixkb 	计算	c=101 d=3.47486 t=64909
ixkn 	水管	c=1 d=2.9665e-28 t=64909
ixko 	计算器	c=1 d=3.80711e-22 t=64909
ixmg 	文档	c=97 d=3.31423 t=64909
ixmh 	文本	c=52 d=5.11066 t=64909
ixmi 	水果	c=3 d=0.782704 t=64909
ixna 	文案	c=28 d=3.6408 t=64909
ixnq 	离家	c=1 d=3.018e-54 t=64909
ixny 	諵	c=1 d=2.81693e-37 t=64909
ixnz 	文字	c=11 d=5.485e-32 t=64909
ixrh 	功夫	c=1 d=1.02403e-44 t=64909
ixsg 	计划	c=9 d=0.471551 t=64909
ixsh 	离开	c=2 d=1.1233e-91 t=64909
ixsr 	计费	c=25 d=1.82715e-39 t=64909
ixtg 	水平	c=4 d=1.79554e-33 t=64909
ixun 	功能	c=221 d=10.0271 t=64909
ixvf 	文件	c=505 d=13.2152 t=64909
ixvi 	齐全	c=1 d=8.0671e-121 t=64909
ixvl 	变化	c=10 d=7.34462e-21 t=64909
ixvl 	文化	c=5 d=1.45594 t=64909
ixvm 	变体	c=58 d=5.17851e-11 t=64909
ixvr 	文件夹	c=1 d=8.29074e-31 t=64909
ixws 	离线	c=3 d=1.16389e-107 t=64909
ixxn 	文献	c=2 d=2.63405e-32 t=64909
ixxx 	珕	c=1 d=7.43977e-51 t=64909
ixz 	水	c=18 d=0.752014 t=64909
ixzr 	读	c=8 d=2.15231 t=64909
ixzy 	永	c=5 d=8.35627e-76 t=64909
iy 	请	c=71 d=1.64885 t=64909
iyi 	訨	c=1 d=1.41937e-120 t=64909
iyi 	让	c=41 d=1.30688 t=64909
iyir 	让	c=4 d=1.01638e-120 t=64909
iyly 	详情	c=220 d=7.95859 t=64909
iyn 	請	c=27 d=3.72929 t=64909
iyno 	请问	c=1 d=1.63365e-39 t=64909
iyvj 	诗人	c=1 d=8.28366e-21 t=64909
iyvp 	请假	c=4 d=1.38493e-37 t=64909
iywi 	详见	c=1 d=5.62974e-36 t=64909
iywq 	详细	c=18 d=0.00067902 t=64909
iyxx 	请求	c=440 d=31.0209 t=64909
iyy 	詿	c=1 d=9.72893e-60 t=64909
izdc 	词汇	c=2 d=9.14242e-05 t=64909
izho 	詞	c=10 d=2.72886 t=64909
izjl 	词库	c=1 d=2.89621e-40 t=64909
izx 	訊	c=1 d=2.87981e-32 t=64909
j 	的	c=5661 d=35.095 t=64909
ja 	反	c=24 d=2.12868 t=64909
jabr 	反映	c=1 d=7.71896e-102 t=64909
jag 	疼	c=3 d=6.86748e-72 t=64909
jaih 	反正	c=2 d=2.89061e-76 t=64909
jajg 	反应	c=3 d=1.36454e-39 t=64909
jajn 	反向	c=1 d=0.748263 t=64909
jaky 	反馈	c=5 d=0.657047 t=64909
jals 	反转	c=7 d=1.52945e-52 t=64909
jaqi 	返国	c=1 d=1.26836e-32 t=64909
jaqo 	返回	c=302 d=4.34423 t=64909
jazf 	返	c=1 d=7.41377e-98 t=64909
jb 	自	c=175 d=4.97471 t=64909
jbao 	自如	c=2 d=2.52847e-23 t=64909
jbdr 	自然	c=4 d=1.4542e-23 t=64909
jben 	追踪	c=2 d=1.45366e-48 t=64909
jbfz 	自建	c=2 d=5.90141e-104 t=64909
jbgu 	自动	c=137 d=7.91687 t=64909
jbhj 	白菜	c=2 d=4.58782e-40 t=64909
jbhn 	自带	c=4 d=0.991996 t=64909
jbhr 	白天	c=1 d=5.27185e-28 t=64909
jbi 	白	c=3 d=0.99005 t=64909
jbi 	者	c=29 d=3.07458 t=64909
jbi 	自	c=1 d=1.04074e-58 t=64909
jbib 	白	c=1 d=1.07928e-74 t=64909
jbii 	自理	c=1 d=3.69122e-70 t=64909
jbix 	泉	c=14 d=7.8877 t=64909
jbiy 	邀请	c=2 d=3.68243e-42 t=64909
jbiz 	者	c=1 d=3.12966e-99 t=64909
jbiz 	邀	c=4 d=4.33387e-68 t=64909
jblz 	自己	c=47 d=2.19183 t=64909
jbnd 	自定义	c=1 d=4.69821e-55 t=64909
jbnf 	自用	c=6 d=1.96012e-24 t=64909
jbnt 	自定	c=5 d=4.71628e-12 t=64909
jbp 	都	c=209 d=4.60012 t=64909
jbrj 	自身	c=9 d=6.44472e-12 t=64909
jbsj 	自我	c=2 d=0.76338 t=64909
jbu 	息	c=7 d=8.16205e-108 t=64909
jbvh 	自行	c=3 d=1.40131e-09 t=64909
jbxn 	自有	c=26 d=5.94828e-56 t=64909
jbxo 	追加	c=8 d=1.61907e-38 t=64909
jbyi 	自由	c=9 d=0.852144 t=64909
jbyi 	追上	c=3 d=6.09408e-49 t=64909
jc 	瘤	c=1 d=1.75988e-91 t=64909
jdbh 	臭名昭著	c=1 d=1.5824e-17 t=64909
jddj 	广泛	c=1 d=6.80798e-07 t=64909
jdfo 	广告	c=2 d=8.10943e-65 t=64909
jdjh 	广度	c=1 d=1.92142e-36 t=64909
jf 	看	c=356 d=0.495809 t=64909
jfg 	制	c=3 d=1.64131e-41 t=64909
jfgu 	制动	c=1 d=1.53157e-74 t=64909
jfhu 	看到	c=5 d=0.23457 t=64909
jfjf 	看看	c=8 d=5.18359e-35 t=64909
jfoo 	制品	c=1 d=9.87092e-54 t=64909
jft 	拜	c=1 d=8.72174e-39 t=64909
jfvv 	制作	c=7 d=0.691066 t=64909
jfwi 	看见	c=1 d=9.30746e-39 t=64909
jfyj 	制表	c=14 d=5.91234e-24 t=64909
jg 	应	c=157 d=2.70673 t=64909
jgax 	应对	c=1 d=2.73507e-43 t=64909
jghe 	应急	c=1 d=0.782704 t=64909
jgii 	应该	c=85 d=1.02474 t=64909
jgjb 	应邀	c=4 d=1.51912e-94 t=64909
jgnf 	应用	c=119 d=5.42917 t=64909
jgua 	应收	c=76 d=3.49806 t=64909
jgvx 	应付	c=8 d=2.08251e-42 t=64909
jgxn 	应有	c=1 d=0.985112 t=64909
jh 	后	c=232 d=7.19233 t=64909
jha 	度	c=33 d=6.09778e-05 t=64909
jhbg 	后期	c=14 d=1.57006 t=64909
jhh 	升	c=1 d=6.16726e-50 t=64909
jhhr 	后天	c=2 d=9.35568e-33 t=64909
jhio 	升高	c=1 d=1.09764e-96 t=64909
jhix 	病变	c=1 d=2.72987e-50 t=64909
jhjz 	病痛	c=3 d=8.28185e-22 t=64909
jhl 	庖	c=3 d=4.23207e-53 t=64909
jhmg 	后来	c=1 d=2.34468e-84 t=64909
jhnf 	厉害	c=4 d=5.91436e-28 t=64909
jhok 	痘	c=1 d=5.09177e-119 t=64909
jhtq 	后面	c=5 d=3.74267e-27 t=64909
jhtq 	遮面	c=1 d=1.01033e-62 t=64909
jhuo 	后台	c=61 d=4.22634 t=64909
jhwa 	升级	c=6 d=2.28882 t=64909
jhwx 	后续	c=1 d=1.57254e-61 t=64909
jhxz 	后边	c=2 d=1.32994e-31 t=64909
ji 	症	c=1 d=1.68645e-119 t=64909
jigm 	厘米	c=1 d=7.01628e-38 t=64909
jikr 	症状	c=1 d=1.55711e-92 t=64909
jj 	原	c=26 d=1.36841 t=64909
jjau 	原始	c=9 d=0.708221 t=64909
jjbg 	原	c=1 d=5.89369e-75 t=64909
jjbu 	愿	c=1 d=2.65885e-34 t=64909
jjdo 	原名	c=1 d=6.8846e-21 t=64909
jjgm 	原料	c=5 d=0.0925507 t=64909
jjhv 	反序列化	c=4 d=3.69607e-43 t=64909
jjii 	原理	c=1 d=5.87209e-120 t=64909
jjik 	底部	c=3 d=0.771052 t=64909
jjik 	愿意	c=1 d=7.26868e-42 t=64909
jjix 	原文	c=1 d=4.61915e-120 t=64909
jjjh 	欣欣向荣	c=1 d=1.42648e-120 t=64909
jjjr 	原生态	c=1 d=0.486752 t=64909
jjjy 	原生	c=10 d=3.51957 t=64909
jjmg 	原材料	c=1 d=1.95977e-92 t=64909
jjmg 	原来	c=15 d=0.0934805 t=64909
jjmy 	原样	c=1 d=9.50711e-24 t=64909
jjpg 	底层	c=1 d=6.08806e-45 t=64909
jjqr 	原因	c=39 d=3.62144e-22 t=64909
jjrg 	原则	c=1 d=0.12938 t=64909
jjsd 	底	c=4 d=1.37119e-08 t=64909
jjsg 	原型	c=1 d=0.511709 t=64909
jjvf 	原件	c=1 d=3.95524e-118 t=64909
jjw 	虒	c=1 d=1.00861e-42 t=64909
jjxn 	原有	c=1 d=5.59386e-49 t=64909
jl 	老	c=1 d=1.44636e-77 t=64909
jlgt 	老师	c=1 d=8.40889e-21 t=64909
jlh 	库	c=215 d=13.9437 t=64909
jlhk 	库	c=2 d=2.42745e-51 t=64909
jlj 	老	c=3 d=0.767206 t=64909
jlo 	店	c=5 d=0.786628 t=64909
jlxi 	库存	c=1 d=1.42861e-20 t=64909
jlzf 	店铺	c=11 d=1.56154 t=64909
jmci 	彩虹	c=1 d=7.42308e-54 t=64909
jmhc 	床	c=4 d=2.18412 t=64909
jmhl 	彩色	c=1 d=8.11886e-108 t=64909
jmm 	麻	c=2 d=6.82418e-84 t=64909
jmnf 	采用	c=8 d=0.00173569 t=64909
jmpg 	磨砂	c=1 d=0.774917 t=64909
jmrt 	麻烦	c=3 d=6.11857e-45 t=64909
jmvh 	磨合	c=1 d=3.67605e-51 t=64909
jn 	向	c=8 d=0.301382 t=64909
jna 	受	c=7 d=1.31081e-37 t=64909
jnaz 	爱好	c=1 d=0.771052 t=64909
jnbh 	向日葵	c=2 d=8.48473e-09 t=64909
jnbh 	向量	c=3 d=2.61014e-08 t=64909
jngr 	奥	c=1 d=6.68276e-112 t=64909
jnho 	痌	c=1 d=4.34304e-42 t=64909
jno 	向	c=11 d=5.20061e-15 t=64909
jnxa 	爱	c=5 d=1.17457e-39 t=64909
jp 	痕	c=1 d=5.65604e-32 t=64909
jqi 	血	c=1 d=9.82168e-54 t=64909
jqjy 	血压	c=1 d=1.86241e-22 t=64909
jqo 	痐	c=1 d=7.80235e-52 t=64909
jr 	失	c=1 d=2.01562e-99 t=64909
jrhq 	庆	c=3 d=1.63202e-97 t=64909
jrig 	失效	c=3 d=0.771052 t=64909
jril 	失望	c=1 d=3.81827e-27 t=64909
jrra 	失败	c=49 d=0.689092 t=64909
jrto 	庆祝	c=1 d=6.94669e-09 t=64909
jrvo 	迭代器	c=3 d=6.82312e-43 t=64909
jrvs 	迭代	c=16 d=1.63007 t=64909
jrxb 	失真	c=1 d=1.62716e-51 t=64909
jrz 	迭	c=9 d=3.08379e-43 t=64909
jrzd 	迭	c=2 d=4.1187e-110 t=64909
js 	考	c=3 d=1.44419e-30 t=64909
jsju 	考虑	c=1 d=5.36829e-06 t=64909
jt 	近	c=11 d=0.376738 t=64909
jtba 	廈	c=11 d=1.49291 t=64909
jtz 	近	c=6 d=1.83151e-31 t=64909
ju 	么	c=89 d=2.16434 t=64909
juob 	么喝	c=1 d=1.17144e-38 t=64909
jvid 	癄	c=1 d=1.63538e-22 t=64909
jvvy 	座	c=4 d=1.0002e-103 t=64909
jvz 	疙	c=1 d=1.34048e-65 t=64909
jw 	系	c=1 d=1.00187e-22 t=64909
jwgm 	系数	c=1 d=8.77531e-111 t=64909
jwhd 	系列	c=14 d=3.0721e-13 t=64909
jwj 	虎	c=2 d=6.53103e-40 t=64909
jwly 	疫情	c=4 d=3.33076e-67 t=64909
jwnl 	胤	c=2 d=4.73463e-50 t=64909
jwrh 	庞大	c=1 d=4.37327e-06 t=64909
jwwi 	系统	c=184 d=10.8323 t=64909
jx 	千	c=5 d=1.16283e-89 t=64909
jxbh 	质量	c=2 d=0.873716 t=64909
jxbo 	辞职	c=3 d=2.2857e-49 t=64909
jxfl 	虚拟	c=9 d=0.782704 t=64909
jxge 	适当	c=1 d=0.261846 t=64909
jxgm 	千米	c=1 d=6.80892e-38 t=64909
jxh 	千	c=7 d=6.22308e-09 t=64909
jxmh 	虚构	c=1 d=8.87041e-32 t=64909
jxnf 	适用	c=10 d=1.41189 t=64909
jxob 	甜	c=1 d=1.03211e-107 t=64909
jxol 	乱	c=1 d=1.44234e-103 t=64909
jxps 	乱码	c=4 d=0.774917 t=64909
jxr 	质	c=3 d=4.83783e-76 t=64909
jxri 	历史	c=97 d=2.36677 t=64909
jxsl 	适配	c=2 d=0.479506 t=64909
jxud 	迁移	c=4 d=3.4837e-07 t=64909
jxvh 	适合	c=7 d=1.34941 t=64909
jxz 	历	c=1 d=1.35193e-18 t=64909
jy 	生	c=5 d=1.36287e-54 t=64909
jybg 	延期	c=22 d=2.65839e-32 t=64909
jybi 	生日	c=7 d=4.57364e-33 t=64909
jydj 	生活	c=1 d=4.06777e-07 t=64909
jyhz 	庄	c=2 d=5.22474e-40 t=64909
jyig 	生产	c=16 d=6.17711e-10 t=64909
jyig 	生效	c=11 d=1.71534 t=64909
jyik 	生意	c=1 d=3.41636e-42 t=64909
jyiu 	生育	c=1 d=2.86243e-49 t=64909
jyjr 	丢失	c=8 d=6.03794e-36 t=64909
jyrd 	生态	c=4 d=1.07147e-49 t=64909
jyrd 	生火	c=1 d=1.34537e-49 t=64909
jysj 	生成	c=173 d=5.77609 t=64909
jyvh 	生命	c=15 d=4.39604e-08 t=64909
jywn 	压缩	c=9 d=0.995012 t=64909
jyxz 	压力	c=1 d=4.00981e-44 t=64909
jz 	所	c=5 d=0.494109 t=64909
jza 	教	c=1 d=1.64683e-104 t=64909
jzgg 	所示	c=2 d=0.000158461 t=64909
jzhd 	序列	c=8 d=1.88957 t=64909
jzhu 	所致	c=1 d=1.45986e-98 t=64909
jzhv 	序列化	c=4 d=3.66091e-43 t=64909
jziu 	教育	c=2 d=4.72666e-24 t=64909
jzjy 	教廷	c=1 d=0.0939493 t=64909
jzld 	所以	c=36 d=0.851611 t=64909
jzls 	痛惜	c=2 d=0.0513033 t=64909
jzmx 	教材	c=1 d=1.66338e-104 t=64909
jznf 	痛	c=1 d=6.40959e-121 t=64909
jznx 	辭	c=2 d=0.900325 t=64909
jzos 	序号	c=13 d=0.934203 t=64909
jzpc 	所属	c=4 d=4.02327e-38 t=64909
jzt 	序	c=15 d=3.335e-21 t=64909
jzuo 	教程	c=2 d=1.26524 t=64909
jzvr 	所知	c=1 d=0.109153 t=64909
jzxi 	所在	c=5 d=0.755708 t=64909
jzxn 	所有	c=133 d=12.8003 t=64909
k 	并	c=88 d=3.18649 t=64909
kb 	算	c=9 d=0.53206 t=64909
kbdy 	算法	c=52 d=1.73315 t=64909
kbgt 	簛	c=7 d=6.23813e-08 t=64909
kbh 	算	c=7 d=9.11183e-38 t=64909
kd 	将	c=13 d=0.985112 t=64909
kdmg 	将来	c=2 d=4.31185e-96 t=64909
kdph 	篇	c=5 d=0.767621 t=64909
kdsa 	将要	c=1 d=7.01703e-98 t=64909
kdxd 	將	c=22 d=2.26301 t=64909
kez 	逆	c=1 d=6.91558e-15 t=64909
kg 	益	c=1 d=1.9379e-107 t=64909
kgfw 	筛选	c=9 d=1 t=64909
kgh 	兰	c=2 d=6.45276e-110 t=64909
kgi 	刏	c=1 d=7.38559e-112 t=64909
kh 	饮	c=11 d=0.893082 t=64909
kha 	瓶	c=1 d=1.7521e-39 t=64909
khbi 	并且	c=7 d=0.0106734 t=64909
khh 	并	c=16 d=3.2024 t=64909
khl 	飽	c=1 d=1.62435e-60 t=64909
khvh 	并行	c=5 d=0.677057 t=64909
khxa 	并发	c=3 d=0.759572 t=64909
ki 	筑	c=1 d=1.4444e-61 t=64909
kizz 	饺子	c=1 d=2.31417e-77 t=64909
kj 	道	c=4 d=4.19937e-58 t=64909
kja 	飯	c=2 d=4.30056e-44 t=64909
kjab 	版	c=4 d=8.27383e-07 t=64909
kjaf 	饭	c=1 d=3.32262e-97 t=64909
kjb 	首	c=4 d=1.74927e-102 t=64909
kjbg 	长期	c=1 d=2.12422e-40 t=64909
kjbg 	首期	c=7 d=0.0018363 t=64909
kjbz 	道	c=1 d=0.701173 t=64909
kjdh 	首次	c=4 d=0.927743 t=64909
kjfw 	片段	c=10 d=1.19596e-17 t=64909
kjfw 	首先	c=17 d=1.77863 t=64909
kjfw 	首选	c=1 d=6.94433e-05 t=64909
kjh 	长	c=22 d=4.2901 t=64909
kji 	片	c=1 d=4.89811e-104 t=64909
kjjh 	长度	c=16 d=2.29366 t=64909
kjma 	版权	c=1 d=4.30407e-83 t=64909
kjmh 	版本	c=173 d=4.1753 t=64909
kjn 	食	c=2 d=1.36757e-53 t=64909
kjoo 	食品	c=2 d=0.00458484 t=64909
kjpl 	首尾	c=2 d=1.55066e-102 t=64909
kjr 	笑	c=2 d=2.37218e-37 t=64909
kjtr 	首页	c=45 d=1.99194 t=64909
kjvr 	长短	c=2 d=2.32016e-78 t=64909
kkgr 	箭头	c=3 d=2.54639e-110 t=64909
kkh 	餅	c=14 d=3.04556e-26 t=64909
kl 	笔	c=2 d=1.44386e-86 t=64909
klil 	笔记	c=133 d=0.0792142 t=64909
klj 	笔	c=1 d=5.82079e-105 t=64909
kljb 	笔者	c=1 d=1.07602e-09 t=64909
kmb 	箱	c=1 d=2.79175e-49 t=64909
kmqa 	策略	c=9 d=1.47722 t=64909
kn 	前	c=66 d=3.25881 t=64909
knb 	简	c=2 d=0.778801 t=64909
knb 	管	c=21 d=2.79612e-38 t=64909
knbg 	前期	c=1 d=1.69386e-53 t=64909
knbh 	前瞻	c=1 d=1.1911e-116 t=64909
knbh 	简易	c=14 d=1.34716 t=64909
knbi 	前景	c=1 d=0.0350844 t=64909
knbj 	简	c=1 d=4.17701e-54 t=64909
kndy 	简洁	c=1 d=1.42197e-24 t=64909
knei 	前蹄	c=1 d=1.03693e-103 t=64909
knfb 	前提	c=3 d=0.125557 t=64909
knff 	简捷	c=1 d=1.34936e-25 t=64909
knfn 	管控	c=1 d=2.0799e-86 t=64909
knge 	翦	c=1 d=1.21772e-82 t=64909
kngt 	简单	c=58 d=4.01671 t=64909
kni 	氝	c=1 d=3.62418e-119 t=64909
knii 	管理	c=509 d=19.1551 t=64909
knik 	前端	c=82 d=7.47937 t=64909
knjh 	前后	c=4 d=0.690734 t=64909
knjx 	简历	c=1 d=0.759572 t=64909
knkj 	管道	c=2 d=5.51683e-109 t=64909
knlh 	剪切	c=4 d=1.14945e-21 t=64909
knlx 	前导	c=3 d=2.0612e-41 t=64909
knnf 	管用	c=1 d=4.67144e-76 t=64909
knns 	简写	c=2 d=3.15418e-102 t=64909
knrm 	剪贴板	c=1 d=1.38304e-21 t=64909
knsa 	简要	c=2 d=3.25084e-46 t=64909
kntq 	前面	c=5 d=3.95107e-40 t=64909
knuo 	前台	c=13 d=1.66765 t=64909
knvg 	简介	c=7 d=2.18109 t=64909
knvh 	前途	c=1 d=4.33552e-51 t=64909
knvl 	简化	c=2 d=3.45186e-46 t=64909
knvr 	简短	c=1 d=4.82812e-23 t=64909
knwa 	前缀	c=7 d=8.9088e-24 t=64909
knwh 	简约	c=2 d=3.76512e-60 t=64909
kp 	笋	c=1 d=4.32491e-81 t=64909
kr 	关	c=22 d=7.97405e-14 t=64909
krb 	箺	c=1 d=0.774917 t=64909
krbh 	关照	c=1 d=2.02764e-22 t=64909
krbk 	关联	c=61 d=0.491644 t=64909
krd 	狀	c=11 d=7.90655e-61 t=64909
krdi 	关注	c=7 d=6.22554e-47 t=64909
krjw 	关系	c=40 d=0.25284 t=64909
krmw 	关机	c=2 d=1.49437e-74 t=64909
krnx 	关闭	c=42 d=1.08217 t=64909
krrd 	氮	c=3 d=5.25406e-122 t=64909
krrd 	状态	c=249 d=12.3952 t=64909
krth 	关于	c=18 d=5.44638 t=64909
krvi 	送信	c=1 d=1.99143e-104 t=64909
krz 	送	c=12 d=9.07084e-20 t=64909
krzf 	关键	c=5 d=1.35549 t=64909
krzn 	关键字	c=5 d=9.55021e-44 t=64909
ksj 	餓	c=1 d=2.8328e-103 t=64909
ksng 	兼容	c=6 d=1.24986e-65 t=64909
kt 	第	c=101 d=3.05791 t=64909
kthh 	第一	c=1 d=0.650509 t=64909
kv 	答	c=6 d=0.729788 t=64909
kvdh 	签名册	c=1 d=3.4508e-13 t=64909
kvdo 	签名	c=115 d=9.11012 t=64909
kve 	飾	c=1 d=3.21347e-57 t=64909
kvhv 	簽	c=44 d=6.27256e-06 t=64909
kvii 	签证	c=2 d=5.25254e-73 t=64909
kvit 	签订	c=11 d=1.71712e-37 t=64909
kvna 	答案	c=6 d=9.42404e-09 t=64909
kvos 	符号	c=14 d=1.79391 t=64909
kvvh 	符合	c=32 d=0.0466539 t=64909
kvvh 	籤	c=1 d=1.07095e-71 t=64909
kvwh 	签约	c=39 d=1.55214e-22 t=64909
kvxd 	符	c=86 d=0.787674 t=64909
kx 	普	c=1 d=6.97535e-28 t=64909
kxdp 	普遍	c=2 d=2.9298e-58 t=64909
kxzn 	普通	c=5 d=6.00649e-102 t=64909
ky 	等	c=79 d=2.34909 t=64909
kyik 	裝	c=1 d=7.98168e-84 t=64909
kykv 	装饰	c=1 d=2.79689e-100 t=64909
kyky 	等等	c=1 d=9.00359e-119 t=64909
kyth 	等于	c=10 d=2.44917e-29 t=64909
kyvi 	装修	c=5 d=1.09016e-103 t=64909
kyvv 	等价	c=1 d=3.89131e-44 t=64909
kyvy 	等待	c=6 d=0.616192 t=64909
kywa 	等级	c=6 d=6.23187e-22 t=64909
kyxd 	等	c=10 d=1.14113e-29 t=64909
kyxn 	装有	c=1 d=1.11541e-79 t=64909
kyyu 	壮志	c=1 d=3.30739e-43 t=64909
l 	也	c=240 d=6.27836 t=64909
la 	改	c=66 d=1.73622 t=64909
lafo 	改造	c=3 d=2.34979e-08 t=64909
lagu 	改动	c=3 d=2.35643e-84 t=64909
laix 	改变	c=8 d=1.57693e-35 t=64909
lakj 	改版	c=1 d=2.55634e-42 t=64909
lanf 	改用	c=1 d=3.00858e-76 t=64909
lasj 	改成	c=1 d=1.63338e-37 t=64909
lasz 	改进	c=2 d=5.92544e-50 t=64909
laxd 	改过	c=1 d=1.3049e-72 t=64909
lay 	怪	c=3 d=3.34813e-40 t=64909
lb 	慢	c=17 d=0.694197 t=64909
lbi 	旨	c=1 d=4.63802e-21 t=64909
lblb 	慢慢	c=1 d=1.49452e-80 t=64909
lbqa 	慢	c=1 d=5.19463e-119 t=64909
lbtq 	桌面	c=20 d=2.56027 t=64909
ld 	以	c=161 d=5.11872 t=64909
ldaj 	以及	c=8 d=1.50274 t=64909
ldak 	餐	c=2 d=1.38131e-53 t=64909
lddx 	以为	c=3 d=5.70182e-68 t=64909
ldjh 	以后	c=19 d=0.316637 t=64909
ldkh 	餐饮	c=2 d=5.36469e-108 t=64909
ldkn 	以前	c=1 d=8.96661e-100 t=64909
ldni 	以内	c=2 d=1.08349e-104 t=64909
ldth 	以下	c=22 d=1.0451 t=64909
ldv 	以	c=3 d=5.62687e-30 t=64909
ldyi 	以上	c=6 d=0.355226 t=64909
lfbx 	辅助	c=5 d=2.34602e-32 t=64909
lh 	东	c=5 d=0.995012 t=64909
lhbh 	恒	c=1 d=1.07073e-98 t=64909
lhfh 	切换	c=64 d=8.02469 t=64909
lhgh 	切分	c=3 d=5.31273e-60 t=64909
lhgn 	异常	c=2 d=0.060205 t=64909
lhi 	懂	c=1 d=1.57714e-66 t=64909
lhil 	切记	c=1 d=7.75947e-46 t=64909
lhkj 	切片	c=3 d=8.19934e-77 t=64909
lhl 	七	c=8 d=8.09495e-52 t=64909
